id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,yakasi
940592938864546294,108118782,Kucukcekmece,40.99477,28.79228,Private room,362.0,100,0,No Review,0.0,1,269,0,Avrupa
940643706749286699,527123881,Bagcilar,41.0455,28.81052,Entire home/apt,2495.0,100,0,No Review,0.0,1,365,0,Avrupa
940658033553712577,502155481,Avcilar,41.06004,28.72351,Entire home/apt,1930.0,100,1,2023-08-20,0.04,1,365,0,Avrupa
940970759355295551,108748804,Kadikoy,40.99469,29.02698,Entire home/apt,2824.0,2,33,2025-09-01,1.38,8,339,21,Anadolu
941053556582718814,108748804,Kadikoy,40.99426699727134,29.025804810225964,Entire home/apt,2824.0,2,55,2025-09-27,2.09,8,309,46,Anadolu
941055028176839472,108748804,Kadikoy,40.99426699727134,29.025804810225964,Entire home/apt,2824.0,2,60,2025-09-30,2.46,8,321,45,Anadolu
941058704096377941,525625992,Eyup,41.0412,28.91988,Entire home/apt,2185.0,100,0,No Review,0.0,1,269,0,Anadolu
941098746026451414,527217006,Sile,41.16489259999999,29.6054957,Entire home/apt,2295.0,100,3,2024-07-16,0.12,1,365,0,Anadolu
941161917340541589,527233073,Kadikoy,40.9942833,29.0403904,Private room,457.0,100,0,No Review,0.0,1,364,0,Anadolu
941202352017668316,446638490,Sisli,41.04342,28.98602,Entire home/apt,1924.0,7,12,2025-03-02,0.61,13,235,6,Avrupa
941219138473382048,524945154,Sisli,41.05869646720564,28.99072267153833,Entire home/apt,5524.0,100,0,No Review,0.0,2,365,0,Avrupa
941224089853658675,388492112,Beylikduzu,40.99584151830606,28.63308079540729,Entire home/apt,3000.0,100,0,No Review,0.0,3,365,0,Avrupa
941240383577548056,525424124,Sile,41.09522823157656,29.847201393945905,Entire home/apt,1761.0,1,43,2025-08-12,1.65,8,180,12,Anadolu
941329828617607840,527284378,Sisli,41.0553445,28.9909274,Entire home/apt,4322.0,100,12,2024-12-23,0.46,2,365,1,Avrupa
941344014871381657,467207672,Beyoglu,41.04037,28.98169,Entire home/apt,2600.0,100,0,No Review,0.0,4,365,0,Avrupa
